REF_DATE,gross_income
1961-01-01,9514
1961-04-01,10205
1961-07-01,11356
1961-10-01,10951
1962-01-01,10309
1962-04-01,10979
1962-07-01,12674
1962-10-01,11777
1963-01-01,11007
1963-04-01,11775
1963-07-01,13594
1963-10-01,12837
1964-01-01,12285
1964-04-01,13001
1964-07-01,14761
1964-10-01,13929
1965-01-01,13317
1965-04-01,14277
1965-07-01,16311
1965-10-01,15647
1966-01-01,14987
1966-04-01,16213
1966-07-01,18377
1966-10-01,17127
1967-01-01,16240
1967-04-01,17657
1967-07-01,19391
1967-10-01,18525
1968-01-01,17608
1968-04-01,19003
1968-07-01,21317
1968-10-01,20546
1969-01-01,19581
1969-04-01,21082
1969-07-01,23235
1969-10-01,22532
1970-01-01,21537
1970-04-01,22875
1970-07-01,24677
1970-10-01,24065
1971-01-01,22604
1971-04-01,24882
1971-07-01,27324
1971-10-01,26854
1972-01-01,25457
1972-04-01,28038
1972-07-01,30055
1972-10-01,29972
1973-01-01,29303
1973-04-01,32085
1973-07-01,35682
1973-10-01,35896
1974-01-01,35106
1974-04-01,37914
1974-07-01,43523
1974-10-01,41633
1975-01-01,39211
1975-04-01,42052
1975-07-01,49369
1975-10-01,47296
1976-01-01,46287
1976-04-01,50106
1976-07-01,56109
1976-10-01,53484
1977-01-01,52324
1977-04-01,54807
1977-07-01,61445
1977-10-01,59025
1978-01-01,57410
1978-04-01,60973
1978-07-01,68069
1978-10-01,65623
1979-01-01,64788
1979-04-01,70150
1979-07-01,77376
1979-10-01,75295
1980-01-01,74197
1980-04-01,77575
1980-07-01,86291
1980-10-01,84720
1981-01-01,84538
1981-04-01,89420
1981-07-01,99242
1981-10-01,95158
1982-01-01,91630
1982-04-01,94040
1982-07-01,103417
1982-10-01,99094
1983-01-01,96806
1983-04-01,101460
1983-07-01,113010
1983-10-01,110040
1984-01-01,107443
1984-04-01,112075
1984-07-01,122679
1984-10-01,119789
1985-01-01,116619
1985-04-01,120368
1985-07-01,132712
1985-10-01,130328
1986-01-01,124766
1986-04-01,127948
1986-07-01,138805
1986-10-01,135111
1987-01-01,133185
1987-04-01,139745
1987-07-01,151421
1987-10-01,149985
1988-01-01,148063
1988-04-01,153318
1988-07-01,163615
1988-10-01,161898
1989-01-01,158215
1989-04-01,164436
1989-07-01,176561
1989-10-01,172367
1990-01-01,166580
1990-04-01,172205
1990-07-01,181403
1990-10-01,175313
1991-01-01,167228
1991-04-01,172598
1991-07-01,182638
1991-10-01,179309
1992-01-01,171431
1992-04-01,176922
1992-07-01,186332
1992-10-01,183751
1993-01-01,177146
1993-04-01,185214
1993-07-01,191739
1993-10-01,192938
1994-01-01,186254
1994-04-01,194634
1994-07-01,205656
1994-10-01,205428
1995-01-01,197209
1995-04-01,205659
1995-07-01,215915
1995-10-01,212838
1996-01-01,202701
1996-04-01,208638
1996-07-01,225185
1996-10-01,223310
1997-01-01,214418
1997-04-01,222456
1997-07-01,236004
1997-10-01,234048
1998-01-01,223467
1998-04-01,232123
1998-07-01,242727
1998-10-01,242231
1999-01-01,234112
1999-04-01,248064
1999-07-01,262465
1999-10-01,263286
2000-01-01,257878
2000-04-01,274521
2000-07-01,287734
2000-10-01,285938
2001-01-01,277284
2001-04-01,287272
2001-07-01,291890
2001-10-01,288097
2002-01-01,278499
2002-04-01,297094
2002-07-01,308927
2002-10-01,309174
2003-01-01,301290
2003-04-01,309049
2003-07-01,322993
2003-10-01,321415
2004-01-01,312726
2004-04-01,330441
2004-07-01,347162
2004-10-01,345402
2005-01-01,334172
2005-04-01,349238
2005-07-01,368347
2005-10-01,369833
2006-01-01,355187
2006-04-01,371292
2006-07-01,386362
2006-10-01,383763
2007-01-01,371449
2007-04-01,391488
2007-07-01,409243
2007-10-01,405481
2008-01-01,389660
2008-04-01,411697
2008-07-01,442410
2008-10-01,413274
2009-01-01,375035
2009-04-01,382727
2009-07-01,407002
2009-10-01,406570
2010-01-01,391696
2010-04-01,407594
2010-07-01,430749
2010-10-01,436009
2011-01-01,417217
2011-04-01,432644
2011-07-01,461083
2011-10-01,463119
2012-01-01,432807
2012-04-01,446954
2012-07-01,473592
2012-10-01,473848
2013-01-01,443125
2013-04-01,460401
2013-07-01,500963
2013-10-01,497758
2014-01-01,467345
2014-04-01,488985
2014-07-01,524490
2014-10-01,514078
2015-01-01,472379
2015-04-01,487051
2015-07-01,521592
2015-10-01,509419
2016-01-01,475252
2016-04-01,490410
2016-07-01,530194
2016-10-01,529679
2017-01-01,499834
2017-04-01,524426
2017-07-01,559074
2017-10-01,557307
2018-01-01,523396
2018-04-01,551260
2018-07-01,588531
2018-10-01,572488
2019-01-01,539627
2019-04-01,571837
2019-07-01,601557
2019-10-01,598273
2020-01-01,543455
2020-04-01,489978
2020-07-01,582003
2020-10-01,591328
2021-01-01,572854
2021-04-01,603773
2021-07-01,650107
2021-10-01,666395
2022-01-01,639432
